timestamp_ms,machine_id,sensor_axis,rpm,overall_rms_velocity_mms,peak_acceleration_g,bearing_crest_factor,1x_unbalance_amp,2x_misalignment_amp,bpfo_fault_energy,iso_10816_zone,alarm_state
1726248000650,PUMP_301A,RADIAL_DRIVE_END,2983,1.92,0.46,2.9,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248000700,PUMP_301A,RADIAL_DRIVE_END,2984,1.8,0.47,3.0,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248000750,PUMP_301A,RADIAL_DRIVE_END,2980,1.82,0.48,2.8,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248000800,PUMP_301A,RADIAL_DRIVE_END,2981,1.84,0.45,2.9,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248000850,PUMP_301A,RADIAL_DRIVE_END,2982,1.86,0.46,3.0,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248000900,PUMP_301A,RADIAL_DRIVE_END,2983,1.88,0.47,2.8,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248000950,PUMP_301A,RADIAL_DRIVE_END,2984,1.9,0.48,2.9,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001000,PUMP_301A,RADIAL_DRIVE_END,2980,1.92,0.45,3.0,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001050,PUMP_301A,RADIAL_DRIVE_END,2981,1.8,0.46,2.8,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001100,PUMP_301A,RADIAL_DRIVE_END,2982,1.82,0.47,2.9,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001150,PUMP_301A,RADIAL_DRIVE_END,2983,1.84,0.48,3.0,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001200,PUMP_301A,RADIAL_DRIVE_END,2984,1.86,0.45,2.8,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001250,PUMP_301A,RADIAL_DRIVE_END,2980,1.88,0.46,2.9,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001300,PUMP_301A,RADIAL_DRIVE_END,2981,1.9,0.47,3.0,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001350,PUMP_301A,RADIAL_DRIVE_END,2982,1.92,0.48,2.8,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001400,PUMP_301A,RADIAL_DRIVE_END,2983,1.8,0.45,2.9,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001450,PUMP_301A,RADIAL_DRIVE_END,2984,1.82,0.46,3.0,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001500,PUMP_301A,RADIAL_DRIVE_END,2980,1.84,0.47,2.8,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001550,PUMP_301A,RADIAL_DRIVE_END,2981,1.86,0.48,2.9,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001600,PUMP_301A,RADIAL_DRIVE_END,2982,1.88,0.45,3.0,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001650,PUMP_301A,RADIAL_DRIVE_END,2983,1.9,0.46,2.8,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001700,PUMP_301A,RADIAL_DRIVE_END,2984,1.92,0.47,2.9,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001750,PUMP_301A,RADIAL_DRIVE_END,2980,1.8,0.48,3.0,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001800,PUMP_301A,RADIAL_DRIVE_END,2981,1.82,0.45,2.8,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001850,PUMP_301A,RADIAL_DRIVE_END,2982,1.84,0.46,2.9,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001900,PUMP_301A,RADIAL_DRIVE_END,2983,1.86,0.47,3.0,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248001950,PUMP_301A,RADIAL_DRIVE_END,2984,1.88,0.48,2.8,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248002000,PUMP_301A,RADIAL_DRIVE_END,2980,1.9,0.45,2.9,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248002050,PUMP_301A,RADIAL_DRIVE_END,2981,1.92,0.46,3.0,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248002100,PUMP_301A,RADIAL_DRIVE_END,2982,1.8,0.47,2.8,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248002150,PUMP_301A,RADIAL_DRIVE_END,2983,1.82,0.48,2.9,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248002200,PUMP_301A,RADIAL_DRIVE_END,2984,1.84,0.45,3.0,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248002250,PUMP_301A,RADIAL_DRIVE_END,2980,1.86,0.46,2.8,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248002300,PUMP_301A,RADIAL_DRIVE_END,2981,1.88,0.47,2.9,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248002350,PUMP_301A,RADIAL_DRIVE_END,2982,1.9,0.48,3.0,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248002400,PUMP_301A,RADIAL_DRIVE_END,2983,1.92,0.45,2.8,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248002450,PUMP_301A,RADIAL_DRIVE_END,2984,1.8,0.46,2.9,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248002500,PUMP_301A,RADIAL_DRIVE_END,2963,3.8,1.2,4.2,0.95,0.75,0.15,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248002550,PUMP_301A,RADIAL_DRIVE_END,2962,3.88,1.25,4.3,0.97,0.78,0.17,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248002600,PUMP_301A,RADIAL_DRIVE_END,2961,3.96,1.3,4.4,0.99,0.81,0.19,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248002650,PUMP_301A,RADIAL_DRIVE_END,2960,4.04,1.35,4.5,1.01,0.84,0.21,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248002700,PUMP_301A,RADIAL_DRIVE_END,2959,4.12,1.4,4.6,1.03,0.87,0.23,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248002750,PUMP_301A,RADIAL_DRIVE_END,2958,4.2,1.45,4.7,1.05,0.9,0.25,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248002800,PUMP_301A,RADIAL_DRIVE_END,2965,4.28,1.5,4.8,1.07,0.93,0.27,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248002850,PUMP_301A,RADIAL_DRIVE_END,2964,4.36,1.55,4.9,1.09,0.96,0.29,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248002900,PUMP_301A,RADIAL_DRIVE_END,2963,4.44,1.6,5.0,1.11,0.99,0.31,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248002950,PUMP_301A,RADIAL_DRIVE_END,2962,4.52,1.65,5.1,1.13,1.02,0.33,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003000,PUMP_301A,RADIAL_DRIVE_END,2961,4.6,1.7,5.2,1.15,1.05,0.35,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003050,PUMP_301A,RADIAL_DRIVE_END,2960,4.68,1.75,5.3,1.17,1.08,0.37,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003100,PUMP_301A,RADIAL_DRIVE_END,2959,4.76,1.8,5.4,1.19,1.11,0.39,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003150,PUMP_301A,RADIAL_DRIVE_END,2958,4.84,1.85,5.5,1.21,1.14,0.41,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003200,PUMP_301A,RADIAL_DRIVE_END,2965,4.92,1.9,5.6,1.23,1.17,0.43,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003250,PUMP_301A,RADIAL_DRIVE_END,2964,5.0,1.95,5.7,1.25,1.2,0.45,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003300,PUMP_301A,RADIAL_DRIVE_END,2963,5.08,2.0,5.8,1.27,1.23,0.47,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003350,PUMP_301A,RADIAL_DRIVE_END,2962,5.16,2.05,5.9,1.29,1.26,0.49,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003400,PUMP_301A,RADIAL_DRIVE_END,2961,5.24,2.1,6.0,1.31,1.29,0.51,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003450,PUMP_301A,RADIAL_DRIVE_END,2960,5.32,2.15,6.1,1.33,1.32,0.53,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003500,PUMP_301A,RADIAL_DRIVE_END,2959,5.4,2.2,6.2,1.35,1.35,0.55,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003550,PUMP_301A,RADIAL_DRIVE_END,2958,5.48,2.25,6.3,1.37,1.38,0.57,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003600,PUMP_301A,RADIAL_DRIVE_END,2965,5.56,2.3,6.4,1.39,1.41,0.59,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003650,PUMP_301A,RADIAL_DRIVE_END,2964,5.64,2.35,6.5,1.41,1.44,0.61,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003700,PUMP_301A,RADIAL_DRIVE_END,2963,5.72,2.4,6.6,1.43,1.47,0.63,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003750,PUMP_301A,RADIAL_DRIVE_END,2962,5.8,2.45,6.7,1.45,1.5,0.65,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003800,PUMP_301A,RADIAL_DRIVE_END,2961,5.88,2.5,6.8,1.47,1.53,0.67,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003850,PUMP_301A,RADIAL_DRIVE_END,2960,5.96,2.55,6.9,1.49,1.56,0.69,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003900,PUMP_301A,RADIAL_DRIVE_END,2959,6.04,2.6,7.0,1.51,1.59,0.71,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248003950,PUMP_301A,RADIAL_DRIVE_END,2958,6.12,2.65,7.1,1.53,1.62,0.73,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248004000,PUMP_301A,RADIAL_DRIVE_END,2965,6.2,2.7,7.2,1.55,1.65,0.75,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248004050,PUMP_301A,RADIAL_DRIVE_END,2964,6.28,2.75,7.3,1.57,1.68,0.77,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248004100,PUMP_301A,RADIAL_DRIVE_END,2963,6.36,2.8,7.4,1.59,1.71,0.79,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248004150,PUMP_301A,RADIAL_DRIVE_END,2962,6.44,2.85,7.5,1.61,1.74,0.81,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248004200,PUMP_301A,RADIAL_DRIVE_END,2961,6.52,2.9,7.6,1.63,1.77,0.83,ZONE_C_RESTRICTED,WARNING_HIGH_VIB
1726248004250,PUMP_301A,RADIAL_DRIVE_END,2880,7.9,4.8,7.8,2.45,3.1,1.85,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248004300,PUMP_301A,RADIAL_DRIVE_END,2879,8.02,4.95,8.0,2.5,3.14,1.93,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248004350,PUMP_301A,RADIAL_DRIVE_END,2878,8.14,5.1,8.2,2.55,3.18,2.01,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248004400,PUMP_301A,RADIAL_DRIVE_END,2877,8.26,5.25,8.4,2.6,3.22,2.09,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248004450,PUMP_301A,RADIAL_DRIVE_END,2876,8.38,5.4,8.6,2.65,3.26,2.17,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248004500,PUMP_301A,RADIAL_DRIVE_END,2890,8.5,5.55,8.8,2.7,3.3,2.25,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248004550,PUMP_301A,RADIAL_DRIVE_END,2889,8.62,5.7,9.0,2.75,3.34,2.33,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248004600,PUMP_301A,RADIAL_DRIVE_END,2888,8.74,5.85,9.2,2.8,3.38,2.41,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248004650,PUMP_301A,RADIAL_DRIVE_END,2887,8.86,6.0,9.4,2.85,3.42,2.49,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248004700,PUMP_301A,RADIAL_DRIVE_END,2886,8.98,6.15,9.6,2.9,3.46,2.57,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248004750,PUMP_301A,RADIAL_DRIVE_END,2885,9.1,6.3,9.8,2.95,3.5,2.65,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248004800,PUMP_301A,RADIAL_DRIVE_END,2884,9.22,6.45,10.0,3.0,3.54,2.73,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248004850,PUMP_301A,RADIAL_DRIVE_END,2883,9.34,6.6,10.2,3.05,3.58,2.81,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248004900,PUMP_301A,RADIAL_DRIVE_END,2882,9.46,6.75,10.4,3.1,3.62,2.89,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248004950,PUMP_301A,RADIAL_DRIVE_END,2881,9.58,6.9,10.6,3.15,3.66,2.97,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005000,PUMP_301A,RADIAL_DRIVE_END,2880,9.7,7.05,10.8,3.2,3.7,3.05,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005050,PUMP_301A,RADIAL_DRIVE_END,2879,9.82,7.2,11.0,3.25,3.74,3.13,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005100,PUMP_301A,RADIAL_DRIVE_END,2878,9.94,7.35,11.2,3.3,3.78,3.21,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005150,PUMP_301A,RADIAL_DRIVE_END,2877,10.06,7.5,11.4,3.35,3.82,3.29,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005200,PUMP_301A,RADIAL_DRIVE_END,2876,10.18,7.65,11.6,3.4,3.86,3.37,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005250,PUMP_301A,RADIAL_DRIVE_END,2890,10.3,7.8,11.8,3.45,3.9,3.45,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005300,PUMP_301A,RADIAL_DRIVE_END,2889,10.42,7.95,12.0,3.5,3.94,3.53,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005350,PUMP_301A,RADIAL_DRIVE_END,2888,10.54,8.1,12.2,3.55,3.98,3.61,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005400,PUMP_301A,RADIAL_DRIVE_END,2887,10.66,8.25,12.4,3.6,4.02,3.69,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005450,PUMP_301A,RADIAL_DRIVE_END,2886,10.78,8.4,12.6,3.65,4.06,3.77,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005500,PUMP_301A,RADIAL_DRIVE_END,2885,10.9,8.55,12.8,3.7,4.1,3.85,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005550,PUMP_301A,RADIAL_DRIVE_END,2884,11.02,8.7,13.0,3.75,4.14,3.93,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005600,PUMP_301A,RADIAL_DRIVE_END,2883,11.14,8.85,13.2,3.8,4.18,4.01,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005650,PUMP_301A,RADIAL_DRIVE_END,2882,11.26,9.0,13.4,3.85,4.22,4.09,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005700,PUMP_301A,RADIAL_DRIVE_END,2881,11.38,9.15,13.6,3.9,4.26,4.17,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005750,PUMP_301A,RADIAL_DRIVE_END,2880,11.5,9.3,13.8,3.95,4.3,4.25,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005800,PUMP_301A,RADIAL_DRIVE_END,2879,11.62,9.45,14.0,4.0,4.34,4.33,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005850,PUMP_301A,RADIAL_DRIVE_END,2878,11.74,9.6,14.2,4.05,4.38,4.41,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005900,PUMP_301A,RADIAL_DRIVE_END,2877,11.86,9.75,14.4,4.1,4.42,4.49,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
1726248005950,PUMP_301A,RADIAL_DRIVE_END,2876,11.98,9.9,14.6,4.15,4.46,4.57,ZONE_D_CRITICAL_TRIP,EMERGENCY_TRIP_REQUIRED
